#,H,OPT_H,H/OPT_H
1,5001,5000,1.0002
2,5002,5000,1.0004
3,5002,5000,1.0004
4,5002,5000,1.0004
5,5003,5000,1.0006
6,5001,5000,1.0002
7,5003,5000,1.0006
8,5001,5000,1.0002
9,5005,5000,1.001
10,5001,5000,1.0002
11,5002,5000,1.0004
12,5004,5000,1.0008
13,5001,5000,1.0002
14,5003,5000,1.0006
15,5002,5000,1.0004
16,5005,5000,1.001
17,5003,5000,1.0006
18,5001,5000,1.0002
19,5001,5000,1.0002
20,5000,5000,1
21,5005,5000,1.001
22,5003,5000,1.0006
23,5002,5000,1.0004
24,5005,5000,1.001
25,5001,5000,1.0002
26,5007,5000,1.0014
27,5006,5000,1.0012
28,5001,5000,1.0002
29,5005,5000,1.001
30,5003,5000,1.0006
31,5001,5000,1.0002
32,5002,5000,1.0004
33,5002,5000,1.0004
34,5002,5000,1.0004
35,5007,5000,1.0014
36,5002,5000,1.0004
37,5003,5000,1.0006
38,5001,5000,1.0002
39,5001,5000,1.0002
40,5003,5000,1.0006
41,5002,5000,1.0004
42,5001,5000,1.0002
43,5005,5000,1.001
44,5003,5000,1.0006
45,5000,5000,1
46,5003,5000,1.0006
47,5004,5000,1.0008
48,5002,5000,1.0004
49,5004,5000,1.0008
50,5003,5000,1.0006
51,5004,5000,1.0008
52,5003,5000,1.0006
53,5001,5000,1.0002
54,5002,5000,1.0004
55,5001,5000,1.0002
56,5001,5000,1.0002
57,5001,5000,1.0002
58,5000,5000,1
59,5002,5000,1.0004
60,5002,5000,1.0004
61,5001,5000,1.0002
62,5003,5000,1.0006
63,5005,5000,1.001
64,5006,5000,1.0012
65,5002,5000,1.0004
66,5003,5000,1.0006
67,5008,5000,1.0016
68,5002,5000,1.0004
69,5002,5000,1.0004
70,5002,5000,1.0004
71,5003,5000,1.0006
72,5001,5000,1.0002
73,5002,5000,1.0004
74,5006,5000,1.0012
75,5005,5000,1.001
76,5003,5000,1.0006
77,5001,5000,1.0002
78,5006,5000,1.0012
79,5002,5000,1.0004
80,5002,5000,1.0004
81,5002,5000,1.0004
82,5007,5000,1.0014
83,5001,5000,1.0002
84,5001,5000,1.0002
85,5002,5000,1.0004
86,5002,5000,1.0004
87,5006,5000,1.0012
88,5001,5000,1.0002
89,5005,5000,1.001
90,5004,5000,1.0008
91,5003,5000,1.0006
92,5002,5000,1.0004
93,5005,5000,1.001
94,5002,5000,1.0004
95,5005,5000,1.001
96,5006,5000,1.0012
97,5003,5000,1.0006
98,5000,5000,1
99,5003,5000,1.0006
100,5003,5000,1.0006
101,5000,5000,1
102,5002,5000,1.0004
103,5002,5000,1.0004
104,5001,5000,1.0002
105,5003,5000,1.0006
106,5003,5000,1.0006
107,5002,5000,1.0004
108,5001,5000,1.0002
109,5004,5000,1.0008
110,5003,5000,1.0006
111,5001,5000,1.0002
112,5004,5000,1.0008
113,5003,5000,1.0006
114,5006,5000,1.0012
115,5002,5000,1.0004
116,5001,5000,1.0002
117,5001,5000,1.0002
118,5003,5000,1.0006
119,5005,5000,1.001
120,5002,5000,1.0004
121,5002,5000,1.0004
122,5001,5000,1.0002
123,5003,5000,1.0006
124,5002,5000,1.0004
125,5001,5000,1.0002
126,5004,5000,1.0008
127,5003,5000,1.0006
128,5002,5000,1.0004
129,5003,5000,1.0006
130,5001,5000,1.0002
131,5004,5000,1.0008
132,5007,5000,1.0014
133,5005,5000,1.001
134,5003,5000,1.0006
135,5008,5000,1.0016
136,5001,5000,1.0002
137,5001,5000,1.0002
138,5001,5000,1.0002
139,5002,5000,1.0004
140,5001,5000,1.0002
141,5003,5000,1.0006
142,5003,5000,1.0006
143,5003,5000,1.0006
144,5001,5000,1.0002
145,5002,5000,1.0004
146,5002,5000,1.0004
147,5002,5000,1.0004
148,5002,5000,1.0004
149,5003,5000,1.0006
150,5000,5000,1
151,5002,5000,1.0004
152,5004,5000,1.0008
153,5008,5000,1.0016
154,5001,5000,1.0002
155,5003,5000,1.0006
156,5000,5000,1
157,5003,5000,1.0006
158,5004,5000,1.0008
159,5004,5000,1.0008
160,5005,5000,1.001
161,5001,5000,1.0002
162,5004,5000,1.0008
163,5004,5000,1.0008
164,5001,5000,1.0002
165,5004,5000,1.0008
166,5004,5000,1.0008
167,5006,5000,1.0012
168,5001,5000,1.0002
169,5003,5000,1.0006
170,5001,5000,1.0002
171,5002,5000,1.0004
172,5003,5000,1.0006
173,5002,5000,1.0004
174,5006,5000,1.0012
175,5005,5000,1.001
176,5006,5000,1.0012
177,5012,5000,1.0024
178,5005,5000,1.001
179,5002,5000,1.0004
180,5003,5000,1.0006
181,5001,5000,1.0002
182,5002,5000,1.0004
183,5008,5000,1.0016
184,5005,5000,1.001
185,5001,5000,1.0002
186,5005,5000,1.001
187,5000,5000,1
188,5001,5000,1.0002
189,5001,5000,1.0002
190,5002,5000,1.0004
191,5003,5000,1.0006
192,5003,5000,1.0006
193,5002,5000,1.0004
194,5002,5000,1.0004
195,5002,5000,1.0004
196,5002,5000,1.0004
197,5001,5000,1.0002
198,5003,5000,1.0006
199,5001,5000,1.0002
200,5002,5000,1.0004
201,5003,5000,1.0006
202,5004,5000,1.0008
203,5003,5000,1.0006
204,5002,5000,1.0004
205,5001,5000,1.0002
206,5004,5000,1.0008
207,5003,5000,1.0006
208,5004,5000,1.0008
209,5001,5000,1.0002
210,5003,5000,1.0006
211,5002,5000,1.0004
212,5002,5000,1.0004
213,5001,5000,1.0002
214,5003,5000,1.0006
215,5004,5000,1.0008
216,5004,5000,1.0008
217,5005,5000,1.001
218,5005,5000,1.001
219,5007,5000,1.0014
220,5001,5000,1.0002
221,5001,5000,1.0002
222,5001,5000,1.0002
223,5006,5000,1.0012
224,5002,5000,1.0004
225,5006,5000,1.0012
226,5002,5000,1.0004
227,5003,5000,1.0006
228,5005,5000,1.001
229,5005,5000,1.001
230,5004,5000,1.0008
231,5005,5000,1.001
232,5004,5000,1.0008
233,5008,5000,1.0016
234,5002,5000,1.0004
235,5002,5000,1.0004
236,5006,5000,1.0012
237,5005,5000,1.001
238,5003,5000,1.0006
239,5000,5000,1
240,5002,5000,1.0004
241,5001,5000,1.0002
242,5009,5000,1.0018
243,5001,5000,1.0002
244,5004,5000,1.0008
245,5002,5000,1.0004
246,5002,5000,1.0004
247,5003,5000,1.0006
248,5003,5000,1.0006
249,5001,5000,1.0002
250,5002,5000,1.0004
251,5001,5000,1.0002
252,5004,5000,1.0008
253,5001,5000,1.0002
254,5001,5000,1.0002
255,5002,5000,1.0004
256,5005,5000,1.001
257,5001,5000,1.0002
258,5004,5000,1.0008
259,5004,5000,1.0008
260,5001,5000,1.0002
261,5002,5000,1.0004
262,5001,5000,1.0002
263,5002,5000,1.0004
264,5005,5000,1.001
265,5003,5000,1.0006
266,5002,5000,1.0004
267,5001,5000,1.0002
268,5002,5000,1.0004
269,5003,5000,1.0006
270,5005,5000,1.001
271,5003,5000,1.0006
272,5003,5000,1.0006
273,5001,5000,1.0002
274,5006,5000,1.0012
