#,H,OPT_H,H/OPT_H
1,101,100,1.01
2,101,100,1.01
3,101,100,1.01
4,101,100,1.01
5,102,100,1.02
6,101,100,1.01
7,101,100,1.01
8,101,100,1.01
9,101,100,1.01
10,101,100,1.01
11,101,100,1.01
12,101,100,1.01
13,101,100,1.01
14,101,100,1.01
15,101,100,1.01
16,101,100,1.01
17,101,100,1.01
18,101,100,1.01
19,101,100,1.01
20,101,100,1.01
21,101,100,1.01
22,101,100,1.01
23,101,100,1.01
24,101,100,1.01
25,101,100,1.01
26,101,100,1.01
27,101,100,1.01
28,101,100,1.01
29,101,100,1.01
30,101,100,1.01
31,102,100,1.02
32,101,100,1.01
33,101,100,1.01
34,101,100,1.01
35,101,100,1.01
36,101,100,1.01
37,101,100,1.01
38,101,100,1.01
39,103,100,1.03
40,101,100,1.01
41,101,100,1.01
42,101,100,1.01
43,101,100,1.01
44,101,100,1.01
45,101,100,1.01
46,101,100,1.01
47,101,100,1.01
48,101,100,1.01
49,101,100,1.01
50,101,100,1.01
51,101,100,1.01
52,101,100,1.01
53,101,100,1.01
54,101,100,1.01
55,103,100,1.03
56,101,100,1.01
57,101,100,1.01
58,101,100,1.01
59,104,100,1.04
60,101,100,1.01
61,101,100,1.01
62,101,100,1.01
63,101,100,1.01
64,101,100,1.01
65,101,100,1.01
66,101,100,1.01
67,101,100,1.01
68,102,100,1.02
69,101,100,1.01
70,103,100,1.03
71,101,100,1.01
72,101,100,1.01
73,106,100,1.06
74,101,100,1.01
75,101,100,1.01
76,101,100,1.01
77,101,100,1.01
78,101,100,1.01
79,101,100,1.01
80,101,100,1.01
81,101,100,1.01
82,101,100,1.01
83,102,100,1.02
84,101,100,1.01
85,101,100,1.01
86,101,100,1.01
87,101,100,1.01
88,101,100,1.01
89,101,100,1.01
90,101,100,1.01
91,101,100,1.01
92,102,100,1.02
93,102,100,1.02
94,101,100,1.01
95,101,100,1.01
96,101,100,1.01
97,101,100,1.01
98,101,100,1.01
99,101,100,1.01
