W=1000,H=7736,OPT(I)=6537
SORT=Descending Width (2),LOSS=15.5044%,ROTATIONS=0
id,x,y,w,h
26,0,0,674,496
12,0,496,673,431
29,0,927,650,332
20,0,1259,623,306
10,0,1565,614,289
16,0,1854,609,375
25,0,2229,571,589
14,0,2818,562,439
27,0,3257,560,497
6,0,3754,543,388
2,0,4142,541,745
17,0,4887,540,274
24,0,5161,531,479
15,0,5640,530,638
8,0,6278,526,707
28,0,6985,509,389
18,509,6985,486,634
13,0,7374,475,362
30,526,6278,474,285
31,571,2229,419,503
4,587,2732,413,294
7,633,1259,367,701
11,652,3026,348,592
3,650,927,344,301
22,659,3618,341,336
23,543,3954,340,296
9,674,0,286,706
19,541,4250,272,377
21,734,4627,266,714
5,531,5341,266,341
1,960,0,30,2
