W=3000,H=5128,OPT(I)=4772
SORT=Descending Height (3),LOSS=6.94506%,ROTATIONS=0
id,x,y,w,h
27,0,0,572,1890
13,572,0,549,1882
26,1121,0,572,1690
25,1693,0,572,1590
22,2265,0,572,1575
24,2428,1575,572,1490
12,1879,1590,549,1413
23,1307,1690,572,1390
21,735,1882,572,1175
8,0,1890,464,1006
20,0,2896,572,975
15,572,3057,555,755
17,2445,3065,555,659
28,1127,3080,610,625
19,1737,3080,572,592
11,1905,3672,540,530
16,1350,3705,555,496
14,2445,3724,553,496
29,690,3812,660,490
32,1496,4202,949,478
18,0,3871,567,473
33,0,4344,970,463
30,2310,4680,690,447
31,1361,4680,949,445
10,2445,4220,520,350
6,970,4302,425,296
9,0,4807,520,205
3,970,4598,378,200
2,996,4798,365,185
4,520,4807,410,165
5,571,4972,425,148
7,0,5012,439,116
1,2837,0,32,2
