W=25,H=86,OPT(I)=84
SORT=Descending Area (1),LOSS=2.7907%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
45,12,0,11,8
27,0,8,12,7
31,12,8,12,7
39,0,15,12,7
16,12,15,9,8
5,0,22,12,6
41,12,23,10,7
6,0,28,11,6
36,17,30,8,8
58,0,34,8,8
20,8,34,7,8
54,15,38,8,7
18,0,42,11,5
34,14,45,11,5
44,0,47,7,7
46,7,50,10,5
1,17,50,8,6
13,0,55,8,6
2,8,56,11,4
52,14,60,11,4
56,0,61,8,5
57,21,15,4,8
40,8,64,12,3
14,0,67,11,3
25,11,67,8,4
33,0,70,8,4
35,20,64,5,6
55,19,70,6,5
4,15,71,4,7
47,11,71,4,7
3,0,74,10,3
21,0,77,10,3
38,10,78,10,3
10,11,42,3,8
29,22,75,3,8
23,0,80,8,3
51,8,81,8,3
24,0,83,7,3
42,11,30,5,4
48,19,56,5,4
8,22,23,3,6
22,23,0,2,8
26,23,38,2,7
59,18,83,7,2
32,8,70,3,4
9,7,47,4,3
60,16,81,6,2
19,24,8,1,7
15,7,84,11,1
50,19,75,3,3
11,8,55,9,1
17,7,85,9,1
53,0,66,8,1
49,20,78,2,3
43,8,60,3,2
12,14,42,1,3
37,0,54,4,1
28,11,28,1,2
30,7,83,1,1
