W=40,H=126,OPT(I)=125
SORT=Descending Height (3),LOSS=0.634921%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
45,12,0,11,8
112,23,0,11,8
124,0,8,11,8
86,11,8,10,8
136,21,8,10,8
16,31,8,9,8
36,0,16,8,8
58,8,16,8,8
20,16,16,7,8
139,23,16,7,8
57,34,0,4,8
10,30,16,3,8
29,33,16,3,8
85,36,16,3,8
150,0,24,3,8
22,38,0,2,8
127,39,16,1,8
129,3,24,1,8
27,4,24,12,7
31,16,24,12,7
39,28,24,12,7
119,28,31,12,7
69,17,31,11,7
41,7,31,10,7
154,0,38,10,7
93,10,38,9,7
54,19,38,8,7
44,27,38,7,7
84,0,45,7,7
147,7,45,7,7
102,34,38,6,7
4,14,45,4,7
47,18,45,4,7
87,22,45,4,7
142,26,45,4,7
26,5,31,2,7
19,4,31,1,7
5,0,52,12,6
74,12,52,12,6
126,24,52,12,6
6,0,58,11,6
92,11,58,11,6
95,30,45,9,6
117,22,58,9,6
1,31,58,8,6
13,0,64,8,6
107,8,64,8,6
158,16,64,8,6
62,24,64,7,6
88,31,64,7,6
94,0,70,7,6
35,7,70,5,6
81,12,70,5,6
97,0,32,4,6
8,36,51,3,6
76,38,64,2,6
113,17,70,2,6
108,39,45,1,6
125,39,51,1,6
131,39,57,1,6
157,19,70,1,6
18,20,70,11,5
34,29,75,11,5
75,0,76,11,5
116,11,76,11,5
46,30,80,10,5
111,0,81,10,5
123,10,81,10,5
89,31,70,9,5
101,20,81,9,5
135,31,85,9,5
145,0,86,9,5
56,9,86,8,5
55,22,75,6,5
104,17,86,6,5
109,23,86,5,5
110,35,90,5,5
159,29,85,2,5
63,29,80,1,5
114,28,75,1,5
132,28,86,1,5
143,34,90,1,5
99,0,91,12,4
2,12,91,11,4
52,23,91,11,4
65,0,95,11,4
105,11,95,11,4
121,22,95,11,4
70,0,99,10,4
77,10,99,10,4
78,20,99,10,4
25,30,99,8,4
33,0,103,8,4
118,8,103,8,4
149,33,95,7,4
128,16,103,6,4
42,22,103,5,4
48,27,103,5,4
71,32,103,5,4
140,0,107,5,4
32,37,103,3,4
80,38,99,2,4
130,5,107,2,4
138,7,107,1,4
40,8,107,12,3
14,20,107,11,3
66,29,110,11,3
141,18,110,11,3
152,0,111,11,3
3,30,113,10,3
21,20,113,10,3
38,0,114,10,3
23,31,107,8,3
51,12,113,8,3
120,32,116,8,3
24,11,110,7,3
73,25,116,7,3
91,18,116,7,3
115,12,116,6,3
9,0,117,4,3
50,4,117,3,3
49,10,114,2,3
155,7,117,2,3
12,39,107,1,3
79,9,117,1,3
144,10,117,1,3
72,29,119,11,2
61,20,119,9,2
68,11,119,9,2
59,0,120,7,2
60,34,121,6,2
64,29,121,5,2
90,24,121,5,2
151,19,121,5,2
96,7,120,4,2
100,15,121,4,2
106,11,121,4,2
43,0,122,3,2
28,11,117,1,2
153,3,123,12,1
15,15,123,11,1
82,26,123,11,1
137,0,124,10,1
11,10,124,9,1
17,19,124,9,1
160,28,124,9,1
53,3,122,8,1
122,0,125,8,1
156,8,125,8,1
133,30,51,6,1
37,22,80,4,1
67,36,57,3,1
98,26,80,3,1
148,8,110,3,1
103,20,75,2,1
134,29,90,2,1
30,39,63,1,1
83,11,113,1,1
146,31,90,1,1
