W=300,H=857,OPT(I)=830
SORT=Descending Height (3),LOSS=3.10657%,ROTATIONS=0
id,x,y,w,h
58,0,0,70,100
89,70,0,49,100
45,119,0,35,100
82,154,0,22,100
38,176,0,20,100
49,196,0,5,100
37,201,0,49,99
98,218,99,82,98
93,250,0,50,96
73,0,100,83,95
41,83,100,92,94
46,140,194,78,94
64,0,195,95,92
55,218,197,61,92
24,0,287,61,90
18,175,100,21,89
99,61,288,81,88
25,142,289,91,87
63,95,194,41,86
77,196,100,20,83
60,208,376,92,82
31,233,289,58,82
81,152,376,56,82
26,65,376,87,80
83,0,377,23,80
85,279,197,14,80
32,60,456,92,78
84,0,457,46,77
79,23,377,37,76
52,152,458,27,70
13,179,458,26,69
16,205,458,83,65
23,256,523,44,65
11,228,523,28,62
69,172,528,56,61
35,0,534,53,61
75,53,534,94,60
65,216,589,84,60
36,46,453,11,60
97,177,589,39,59
33,157,528,15,59
6,288,458,11,59
9,122,594,55,58
68,291,277,9,57
94,98,594,24,55
14,0,595,48,54
47,0,649,55,51
29,61,594,37,51
66,205,649,95,46
44,55,652,71,45
7,126,652,29,45
5,293,197,5,45
1,245,695,55,44
95,147,697,98,43
78,75,697,72,43
92,184,648,21,43
40,0,700,53,42
54,48,595,12,42
43,237,740,63,40
70,155,652,14,38
67,185,740,52,37
59,134,740,51,34
57,85,740,49,34
90,0,742,42,34
72,53,700,22,33
53,42,742,41,31
42,63,773,22,31
10,85,774,74,29
87,0,776,41,28
8,169,652,14,26
48,159,777,55,25
27,214,780,40,24
22,47,773,16,24
15,154,803,60,23
2,216,99,2,21
74,0,804,77,19
62,89,803,65,19
100,214,804,59,18
39,46,513,14,18
4,0,823,89,16
19,89,822,47,16
88,169,678,11,16
3,227,822,73,15
96,136,826,63,14
34,250,837,50,13
50,254,780,45,13
30,275,793,25,13
21,0,839,88,12
86,88,840,83,12
12,136,194,4,12
71,210,837,40,10
76,171,847,57,8
91,196,183,15,8
28,228,850,71,7
51,0,851,80,5
20,211,183,6,5
80,80,852,68,4
56,95,280,43,4
61,250,96,45,3
17,155,695,74,2
