#,H,OPT_H,H/OPT_H
1,2000,2000,1
2,2215,2000,1.1075
3,2138,2000,1.069
4,2000,2000,1
5,2359,2000,1.1795
6,2175,2000,1.0875
7,2000,2000,1
8,2991,2000,1.4955
9,2236,2000,1.118
10,2000,2000,1
11,2127,2000,1.0635
12,2157,2000,1.0785
13,2000,2000,1
14,2368,2000,1.184
15,2487,2000,1.2435
16,2361,2000,1.1805
17,2579,2000,1.2895
18,2185,2000,1.0925
19,2517,2000,1.2585
20,2000,2000,1
21,2000,2000,1
22,2000,2000,1
23,2234,2000,1.117
24,2000,2000,1
25,2046,2000,1.023
26,2131,2000,1.0655
27,2000,2000,1
28,2000,2000,1
29,2131,2000,1.0655
30,2000,2000,1
31,2009,2000,1.0045
32,2000,2000,1
33,2225,2000,1.1125
34,2047,2000,1.0235
35,2005,2000,1.0025
36,2105,2000,1.0525
37,2000,2000,1
38,2467,2000,1.2335
39,2000,2000,1
40,2245,2000,1.1225
41,2208,2000,1.104
42,2559,2000,1.2795
43,2000,2000,1
44,2137,2000,1.0685
45,2383,2000,1.1915
46,2037,2000,1.0185
47,2000,2000,1
48,2000,2000,1
49,2000,2000,1
50,2000,2000,1
51,2000,2000,1
52,2394,2000,1.197
53,2000,2000,1
54,2603,2000,1.3015
55,2000,2000,1
56,2000,2000,1
57,2125,2000,1.0625
58,2000,2000,1
59,2000,2000,1
60,2061,2000,1.0305
61,2000,2000,1
62,2170,2000,1.085
63,2000,2000,1
64,2000,2000,1
65,2000,2000,1
66,2081,2000,1.0405
67,2000,2000,1
68,2000,2000,1
69,2000,2000,1
70,2000,2000,1
71,2034,2000,1.017
72,2222,2000,1.111
73,2000,2000,1
74,2242,2000,1.121
75,2267,2000,1.1335
76,2113,2000,1.0565
77,2220,2000,1.11
78,2275,2000,1.1375
79,2157,2000,1.0785
80,2036,2000,1.018
81,2497,2000,1.2485
82,2042,2000,1.021
83,2000,2000,1
84,2194,2000,1.097
85,2329,2000,1.1645
86,2000,2000,1
87,2000,2000,1
88,2000,2000,1
89,2247,2000,1.1235
90,2000,2000,1
91,2506,2000,1.253
92,2289,2000,1.1445
93,2263,2000,1.1315
94,2512,2000,1.256
95,2000,2000,1
96,2000,2000,1
97,2000,2000,1
98,2506,2000,1.253
99,2125,2000,1.0625
100,2266,2000,1.133
101,2537,2000,1.2685
102,2000,2000,1
103,2124,2000,1.062
104,2000,2000,1
105,2000,2000,1
106,2295,2000,1.1475
107,2000,2000,1
108,2104,2000,1.052
109,2043,2000,1.0215
110,2000,2000,1
111,2189,2000,1.0945
112,2181,2000,1.0905
113,2365,2000,1.1825
114,2000,2000,1
115,2401,2000,1.2005
116,2000,2000,1
117,2300,2000,1.15
118,2844,2000,1.422
119,2000,2000,1
120,2000,2000,1
121,2000,2000,1
122,2107,2000,1.0535
123,2255,2000,1.1275
124,2015,2000,1.0075
125,2316,2000,1.158
126,2000,2000,1
127,2297,2000,1.1485
128,2000,2000,1
129,2656,2000,1.328
130,2324,2000,1.162
131,2249,2000,1.1245
132,2000,2000,1
133,2000,2000,1
134,2053,2000,1.0265
135,2000,2000,1
136,2643,2000,1.3215
137,2242,2000,1.121
138,2000,2000,1
139,2000,2000,1
140,2054,2000,1.027
141,2206,2000,1.103
142,2211,2000,1.1055
143,2274,2000,1.137
