#,H,OPT_H,H/OPT_H
1,208,200,1.04
2,214,200,1.07
3,218,200,1.09
4,211,200,1.055
5,230,200,1.15
6,216,200,1.08
7,213,200,1.065
8,208,200,1.04
9,219,200,1.095
10,211,200,1.055
11,212,200,1.06
12,206,200,1.03
13,219,200,1.095
14,208,200,1.04
15,219,200,1.095
16,214,200,1.07
17,214,200,1.07
18,208,200,1.04
19,203,200,1.015
20,222,200,1.11
21,223,200,1.115
22,243,200,1.215
23,226,200,1.13
24,211,200,1.055
25,215,200,1.075
26,217,200,1.085
27,219,200,1.095
28,210,200,1.05
29,211,200,1.055
30,221,200,1.105
31,220,200,1.1
32,220,200,1.1
33,286,200,1.43
34,217,200,1.085
35,212,200,1.06
36,207,200,1.035
37,213,200,1.065
38,210,200,1.05
39,215,200,1.075
40,221,200,1.105
41,227,200,1.135
42,211,200,1.055
43,242,200,1.21
44,212,200,1.06
45,265,200,1.325
46,231,200,1.155
47,218,200,1.09
48,215,200,1.075
49,237,200,1.185
50,208,200,1.04
51,224,200,1.12
52,213,200,1.065
53,215,200,1.075
54,221,200,1.105
55,207,200,1.035
56,228,200,1.14
57,210,200,1.05
58,207,200,1.035
59,220,200,1.1
60,208,200,1.04
61,234,200,1.17
62,216,200,1.08
63,219,200,1.095
64,237,200,1.185
65,214,200,1.07
66,210,200,1.05
67,205,200,1.025
68,214,200,1.07
69,226,200,1.13
70,212,200,1.06
71,226,200,1.13
72,238,200,1.19
73,213,200,1.065
74,207,200,1.035
75,213,200,1.065
76,207,200,1.035
77,215,200,1.075
78,211,200,1.055
79,221,200,1.105
80,215,200,1.075
81,218,200,1.09
82,220,200,1.1
83,233,200,1.165
84,208,200,1.04
85,216,200,1.08
86,211,200,1.055
87,216,200,1.08
88,233,200,1.165
89,218,200,1.09
90,208,200,1.04
91,208,200,1.04
92,208,200,1.04
93,266,200,1.33
94,224,200,1.12
95,214,200,1.07
96,207,200,1.035
97,235,200,1.175
98,212,200,1.06
99,225,200,1.125
100,228,200,1.14
101,202,200,1.01
102,208,200,1.04
103,205,200,1.025
104,218,200,1.09
105,214,200,1.07
106,219,200,1.095
107,216,200,1.08
108,214,200,1.07
109,217,200,1.085
110,209,200,1.045
111,227,200,1.135
112,208,200,1.04
113,217,200,1.085
114,210,200,1.05
115,209,200,1.045
116,203,200,1.015
117,214,200,1.07
118,206,200,1.03
119,229,200,1.145
120,206,200,1.03
121,208,200,1.04
122,213,200,1.065
123,211,200,1.055
124,217,200,1.085
125,210,200,1.05
126,218,200,1.09
127,211,200,1.055
128,211,200,1.055
129,209,200,1.045
130,238,200,1.19
131,213,200,1.065
132,219,200,1.095
133,210,200,1.05
134,211,200,1.055
135,217,200,1.085
136,213,200,1.065
137,223,200,1.115
138,215,200,1.075
139,211,200,1.055
140,213,200,1.065
141,210,200,1.05
142,259,200,1.295
143,214,200,1.07
144,213,200,1.065
145,218,200,1.09
146,218,200,1.09
147,214,200,1.07
148,212,200,1.06
149,212,200,1.06
150,222,200,1.11
151,222,200,1.11
152,213,200,1.065
153,211,200,1.055
154,220,200,1.1
155,212,200,1.06
156,221,200,1.105
157,211,200,1.055
158,210,200,1.05
159,213,200,1.065
160,210,200,1.05
161,208,200,1.04
162,215,200,1.075
163,227,200,1.135
164,217,200,1.085
165,202,200,1.01
166,204,200,1.02
167,223,200,1.115
168,209,200,1.045
169,210,200,1.05
170,215,200,1.075
171,207,200,1.035
172,220,200,1.1
173,208,200,1.04
174,216,200,1.08
175,224,200,1.12
176,213,200,1.065
177,206,200,1.03
178,221,200,1.105
179,212,200,1.06
180,209,200,1.045
181,217,200,1.085
182,223,200,1.115
183,214,200,1.07
184,209,200,1.045
185,203,200,1.015
186,236,200,1.18
187,206,200,1.03
188,211,200,1.055
189,224,200,1.12
190,213,200,1.065
191,218,200,1.09
192,210,200,1.05
193,214,200,1.07
194,213,200,1.065
195,212,200,1.06
196,211,200,1.055
197,212,200,1.06
198,211,200,1.055
199,227,200,1.135
200,221,200,1.105
201,204,200,1.02
202,213,200,1.065
203,210,200,1.05
204,206,200,1.03
205,212,200,1.06
206,216,200,1.08
207,230,200,1.15
208,220,200,1.1
209,264,200,1.32
210,213,200,1.065
211,225,200,1.125
212,212,200,1.06
213,219,200,1.095
214,211,200,1.055
215,215,200,1.075
216,212,200,1.06
217,208,200,1.04
218,210,200,1.05
219,208,200,1.04
220,213,200,1.065
221,217,200,1.085
222,220,200,1.1
223,243,200,1.215
224,213,200,1.065
225,221,200,1.105
226,211,200,1.055
227,215,200,1.075
228,227,200,1.135
229,210,200,1.05
230,206,200,1.03
231,212,200,1.06
232,216,200,1.08
233,210,200,1.05
234,213,200,1.065
235,207,200,1.035
236,230,200,1.15
237,215,200,1.075
238,208,200,1.04
239,210,200,1.05
240,206,200,1.03
241,217,200,1.085
242,209,200,1.045
243,205,200,1.025
244,207,200,1.035
245,203,200,1.015
246,205,200,1.025
247,213,200,1.065
248,226,200,1.13
249,219,200,1.095
250,215,200,1.075
251,210,200,1.05
252,232,200,1.16
253,211,200,1.055
254,210,200,1.05
255,214,200,1.07
256,224,200,1.12
257,208,200,1.04
258,209,200,1.045
259,221,200,1.105
260,229,200,1.145
261,202,200,1.01
262,233,200,1.165
263,205,200,1.025
264,265,200,1.325
265,209,200,1.045
266,207,200,1.035
267,211,200,1.055
268,206,200,1.03
269,215,200,1.075
270,217,200,1.085
271,212,200,1.06
272,213,200,1.065
273,226,200,1.13
274,216,200,1.08
275,239,200,1.195
276,212,200,1.06
277,207,200,1.035
278,210,200,1.05
279,212,200,1.06
280,217,200,1.085
281,213,200,1.065
282,224,200,1.12
283,215,200,1.075
284,226,200,1.13
285,208,200,1.04
286,209,200,1.045
287,212,200,1.06
288,247,200,1.235
289,243,200,1.215
290,214,200,1.07
291,210,200,1.05
292,235,200,1.175
293,240,200,1.2
294,209,200,1.045
295,204,200,1.02
296,209,200,1.045
297,216,200,1.08
298,237,200,1.185
299,210,200,1.05
300,213,200,1.065
301,210,200,1.05
302,218,200,1.09
303,215,200,1.075
304,204,200,1.02
305,219,200,1.095
306,218,200,1.09
307,219,200,1.095
308,219,200,1.095
309,220,200,1.1
310,241,200,1.205
311,225,200,1.125
312,209,200,1.045
313,206,200,1.03
314,214,200,1.07
315,212,200,1.06
316,215,200,1.075
317,231,200,1.155
318,209,200,1.045
319,211,200,1.055
320,227,200,1.135
321,212,200,1.06
322,208,200,1.04
323,216,200,1.08
324,208,200,1.04
325,207,200,1.035
326,215,200,1.075
327,223,200,1.115
328,205,200,1.025
329,221,200,1.105
330,212,200,1.06
331,207,200,1.035
332,215,200,1.075
333,212,200,1.06
334,215,200,1.075
335,228,200,1.14
336,216,200,1.08
337,224,200,1.12
338,234,200,1.17
339,231,200,1.155
340,222,200,1.11
341,218,200,1.09
342,212,200,1.06
343,207,200,1.035
344,209,200,1.045
345,221,200,1.105
346,206,200,1.03
347,211,200,1.055
348,204,200,1.02
349,227,200,1.135
350,221,200,1.105
