N,H/W,H/OPTH
5,0.1,1.0
5,0.2,1.0
5,0.5,1.0
5,1.0,1.0
5,2.0,1.0
5,5.0,1.0
5,10.0,1.0
10,0.1,1.64
10,0.2,1.54
10,0.5,1.588
10,1.0,1.587
10,2.0,1.588
10,5.0,1.5812
10,10.0,1.6571
50,0.1,1.39
50,0.2,1.43
50,0.5,1.424
50,1.0,1.47
50,2.0,1.4565
50,5.0,1.4412
50,10.0,1.4939
100,0.1,1.32
100,0.2,1.315
100,0.5,1.268
100,1.0,1.488
100,2.0,1.344
100,5.0,1.4172
100,10.0,1.3076
200,0.1,1.13
200,0.2,1.305
200,0.5,1.26
200,1.0,1.269
200,2.0,1.204
200,5.0,1.1836
200,10.0,1.2791
500,0.1,1.03
500,0.2,1.065
500,0.5,1.032
500,1.0,1.069
500,2.0,1.04
500,5.0,1.0552
500,10.0,1.2537
1000,0.1,1.0
1000,0.2,1.0
1000,0.5,1.004
1000,1.0,1.014
1000,2.0,1.049
1000,5.0,1.0122
1000,10.0,1.0816
2000,0.1,1.0
2000,0.2,1.0
2000,0.5,1.0
2000,1.0,1.001
2000,2.0,1.003
2000,5.0,1.0026
2000,10.0,1.0032
